,session,participant,TrialNumber,topOri,topColor,redOpacity,ran,order,keyDur,keyRT,keyName
0,99,01,1,135,red,0.5,1.0,0.0,"[1.657105699996464, 0.6321674000064377, 0.21495049999793991, 1.2038657999946736, 0.8159715000074357, 1.0134225000074366, 0.8191976000089198, 1.0293983000010485, 1.1301569000061136, 0.9788374999916414, 1.3669934999925317, 1.220218099988415, 0.963969200005522, 1.3093368999980157, 0.9752398999989964, 0.6653654999972787, 0.9385590000019874, 2.0838523999991594, 1.354016800003592, 1.1290390000067418, 1.1814856999990297, 1.1829714000050444, 0.6653996000095503, 1.087350299989339, 1.3371302000014111, 0.647686899988912, 1.2949262000038289]","[1.429589000006672, 3.0835980999981984, 3.737072400006582, 3.989705600004527, 5.185198599996511, 6.003080399997998, 7.000403099998948, 7.758813399996143, 8.728679399995599, 9.817760300007649, 10.744968800005154, 12.064911000008578, 13.218914600001881, 14.104183500006911, 15.38207570000668, 16.475692899999558, 17.170343899997533, 18.187881200006814, 20.252132199995685, 21.58672110000043, 22.709734800009755, 23.85080410000228, 24.98554829999921, 25.6009902000078, 26.67767649999587, 28.362043900007848, 29.067097999999532]","['space', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space']"
1,99,01,2,45,red,0.45,1.0,1.0,"[0.8489728999993531, 0.6495612999860896, 4.208757899992634, 0.8070590999996057, 1.719296100010979, 2.4135898999957135, 2.214904300009948, 0.16871010001341347, 0.07818280000356026, 2.514152399991872, 0.8523254000028828, 1.2529292999970494, 1.5077004000049783, 2.6973929000087082, 1.3161404999991646, 1.3873489999969024, 1.2712114000023575, 1.532238600004348, 1.0401324999984354]","[0.7295897000003606, 1.5805105000035837, 2.293337299997802, 6.648053800003254, 7.420161599991843, 9.802715199999511, 12.241194499991252, 14.499436899990542, 14.693972299995949, 14.873591299998225, 17.45458309999958, 18.310837099998025, 19.68702199999825, 21.17466439999407, 23.828466599996318, 25.147960000002058, 26.666297499992652, 27.891847699997015, 29.403571699993336]","['right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'space', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
2,99,01,3,45,red,0.65,1.0,2.0,"[3.07196530001238, 0.5330188000079943, 0.9101196999981767, 0.8758502999990014, 1.197373000002699, 1.3905147000041325, 1.418363299992052, 2.082321599998977, 0.9288956000091275, 1.2584016000037082, 1.4721715000050608, 1.3252425999962725, 0.850943899989943, 1.4157468999910634, 1.3318961000040872, 2.36329680000199, 0.9714357999910135, 1.1868511000066064, 0.911450599989621, 1.5752530000027036]","[0.6242729999939911, 3.7486213999945903, 4.317042199996649, 5.214324999993551, 6.084401000000071, 8.68089719999989, 10.170128800004022, 11.594629300001543, 13.625069899993832, 14.620652300000074, 15.999356100001023, 17.43097719999787, 19.02416230000381, 19.904186700005084, 21.38071409999975, 22.73813589999918, 25.165626300004078, 26.17592059999879, 27.52988020000339, 28.644162299999152]","['space', 'right', 'left', 'right', 'left', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
3,99,01,4,45,red,0.65,1.0,3.0,"[0.5548788000014611, 4.919326299990644, 0.43740329999127425, 0.5747400000109337, 0.9142545000067912, 0.9969019999989541, 1.0410161000036169, 0.8790225999982795, 0.9028747999982443, 0.6972834000043804, 1.4583509999938542, 1.1127846000017598, 1.3837834000005387, 0.5119974999979604, 0.9176168999983929, 1.037280999997165, 1.9179233000031672, 1.524004100007005, 1.2084621999965748, 1.2093105999956606, 1.3744379000127083]","[1.7605214000068372, 2.509227800008375, 8.052930500009097, 9.04896749999898, 9.681318300004932, 10.614837600005558, 11.604902100007166, 12.634295800002292, 13.533825500009698, 14.430117700001574, 15.178373800008558, 16.60973300000478, 17.717825500003528, 19.14734780001163, 20.798314700004994, 21.991777000002912, 23.000331100003677, 25.116577799999504, 26.625901000006706, 27.86686560000817, 29.078503400000045]","['left', 'space', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
4,99,01,5,45,red,0.55,1.0,4.0,"[0.6878592000139179, 0.8612179999909131, 0.9280701999960002, 1.1454806999972789, 1.0136328999942634, 1.2754160000040429, 1.2070949000044493, 1.1986705000017537, 1.7456477000087034, 2.8288582999957725, 1.0795910000015283, 0.37823760000173934, 0.9591739000024972, 1.8741076000005705, 1.801379900003667, 1.8198532999958843, 1.2372317000117619, 1.3782817000028444, 1.6839255000086268, 1.474988999994821, 1.7242371999891475]","[0.6348474999977043, 1.3620516000082716, 2.244027000007918, 3.1797952000051737, 4.401466200011782, 5.492750000004889, 6.905215000006137, 8.125288800001726, 9.495141699997475, 11.294789200008381, 14.19949880000786, 16.030900700003258, 16.566529600007925, 17.548583900002996, 19.43414589999884, 21.25727650000772, 23.059302699999535, 24.261323200000334, 25.586465000000317, 27.27356210000289, 28.698770800008788]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
5,99,01,6,135,red,0.35,1.0,5.0,"[0.7463119000021834, 2.6615993000013987, 2.6213090999954147, 1.9892224000068381, 5.270269799992093, 2.915071800001897, 0.5736765999899944, 1.7506744999991497, 1.1043818999896757, 1.6203574999963166, 4.236201299994718, 3.1672266999958083, 1.1366203999932623]","[0.59341790000326, 1.3998904000036418, 4.049708000005921, 6.635925599999609, 8.673353400008637, 13.96348800000851, 16.967103900009533, 17.519867100010742, 19.224589700010256, 20.47306840000965, 22.059409200010123, 26.256015300008585, 29.368822400007048]","['right', 'left', 'right', 'left', 'right', 'left', 'space', 'right', 'left', 'right', 'left', 'right', 'left']"
6,99,01,7,45,blue,0.35,1.0,6.0,"[0.8805447000049753, 1.0121675999980653, 1.5975115000037476, 1.3516040000104113, 0.9946373000129825, 1.3197857000050135, 1.2538255999970715, 2.7908738999976777, 2.248126399994362, 2.1815976000070805, 1.421243200005847, 1.695510399993509, 2.4663858999992954, 1.9735765000077663, 0.9060332000080962, 2.45783400000073, 3.3163961000100244]","[0.7490498999977717, 1.6846650000079535, 2.7172323999984656, 4.310611299995799, 5.623674899994512, 6.610238599998411, 7.907484900002601, 9.120266400001128, 11.906624700000975, 14.073535899995477, 16.192900800000643, 17.554572100008954, 19.205986500004656, 21.69605519999459, 23.731164299999364, 24.680575699996552, 27.106739399998332]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
7,99,01,8,135,blue,0.55,1.0,7.0,"[0.5221316999959527, 1.259987600002205, 1.3099849999998696, 1.234623800002737, 0.40576660000078846, 0.4985147999977926, 0.8934842000016943, 2.759330200002296, 1.7919407000008505, 1.8074321000021882, 3.5053546000126516, 1.3407769000041299, 1.5405647000006866, 1.557773199994699, 2.206261999992421, 3.4567367999989074, 3.0719410000019707, 1.123219800007064]","[0.6125847000075737, 1.1849304000061238, 2.3849776000133716, 3.662210700000287, 4.9013891000067815, 5.319210200002999, 5.782298100006301, 6.666132400001516, 9.35914000000048, 11.169215000001714, 13.032553500001086, 16.547481500005233, 17.83256330000586, 19.34136840001156, 20.86717330000829, 23.0449374000018, 26.435218800004805, 29.441215400001965]","['right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left']"
8,99,01,9,135,blue,0.35,1.0,8.0,"[0.06535360000270884, 2.6971196999948006, 1.102531700002146, 1.3355129000119632, 1.7718021999899065, 1.574554300008458, 1.7865586999978404, 1.4532338999997592, 1.320036599994637, 1.6633217000053264, 2.6569576999900164, 2.4682163999968907, 2.0786910000024363, 2.392773200001102, 3.9246790999895893, 1.457026100004441]","[0.7806350000028033, 1.0741039999993518, 3.8652779999974882, 4.963365999996313, 6.293718400003854, 8.003062999996473, 9.545070399995893, 11.281651099998271, 12.708837800004403, 13.991973600001074, 15.59702620000462, 18.236981399997603, 20.689080600001034, 22.735804600000847, 25.05380160000641, 28.96186039999884]","['right', 'space', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
9,99,01,10,45,blue,0.5,1.0,9.0,"[3.7107438999955775, 1.1454111999919405, 1.1806270999950357, 0.961205700004939, 3.909324399995967, 4.131497900001705, 2.0709181999991415, 1.7259814999997616, 1.8780861999985063, 0.93105139999534, 4.325101900001755, 2.318758399997023]","[1.0392891000083182, 5.51925320000737, 6.6952562000078615, 7.93218540000089, 9.244984500008286, 13.146405899999081, 17.24931660000584, 19.27832969999872, 20.986022199998843, 22.814474400001927, 23.753443499997957, 28.132384600001387]","['space', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'left', 'right']"
